Parcela,ID,Código,Nombre_común,Nombre_científico,Familia,Ht1_(m),Hc1_(m),CAP1,CAP2_(cm),CAP3_(cm),CAP4_(cm),CAP5_(cm)
1,32,1-32,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,5,3.5,32,,,,
1,33,1-33,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,7,6.5,40,,,,
1,34,1-34,Palma de cera ,Ceroxylon sasaimae Galeano,Arecaceae Bercht. & J.Presl,11,11,64,,,,
1,35,1-35,Niguito,Miconia resima Naudin,Melastomataceae Juss.,6.5,5,54,,,,
1,36,1-36,Niguito,Miconia resima Naudin,Melastomataceae Juss.,8,4.5,63,,,,
1,37,1-37,Tabaquillo,Macrocarpaea macrophylla (Kunth) Gilg,Gentianaceae Juss.,6,4,44,,,,
2,6,2-6,Tabaquillo,Macrocarpaea macrophylla (Kunth) Gilg,Gentianaceae Juss.,4,3,32,,,,
2,2,2-2,schefflera,Schefflera actinophylla (Endl.) Harms,Araliaceae Juss.,4,3,35,,,,
2,3,2-3,Tuno negro,Miconia cundinamarcensis Wurdack,Melastomataceae Juss.,3,2,33,,,,
2,4,2-4,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,42,,,,
2,5,2-5,Tuno negro,Miconia cundinamarcensis Wurdack,Melastomataceae Juss.,8,3,33,,,,
2,1,2-1,Arrayan hoji pequeño,Myrcianthes leucoxyla (Ortega) McVaugh,Myrtaceae Juss.,7,2,43,,,,
2,7,2-7,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,8,5,65,,,,
2,8,2-8,Tuno niguito,Miconia spicellata Bonpl. ex Naudin,Melastomataceae Juss.,4,3,32,,,,
2,9,2-9,Falso roble,SD1,SF1,9,6,72,,,,
2,10,2-10,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,43,,,,
2,15,2-15,Huesito,Palicourea apicata Kunth,Rubiaceae Juss.,6,3,44,,,,
2,19,2-19,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,41,,,,
